city,title,artist,genre
London,"London Calling","The Clash","Pop"
London,"Let It Be","The Beatles","Rock"
London,"Strange Weather","Marianne Faithfull","Jazz"
London,"Fantasia on a Theme by Thomas Tallis","Ralph Vaughan Williams","Classical"
London,"King of the Road","Roger Miller","Country"
London,"West End Girls","Pet Shop Boys","Pop"
London,"Satisfaction","The Rolling Stones","Rock"
London,"Round Midnight","Thelonious Monk","Jazz"
London,"Enigma Variations","Edward Elgar","Classical"
London,"Take Me Home, Country Roads","John Denver","Country"
London,"Waterloo Sunset","The Kinks","Pop"
London,"Whole Lotta Love","Led Zeppelin","Rock"
London,"My Funny Valentine","Chet Baker","Jazz"
London,"The Planets","Gustav Holst","Classical"
London,"Jolene","Dolly Parton","Country"
London,"Don't Look Back in Anger","Oasis","Pop"
London,"Bohemian Rhapsody","Queen","Rock"
London,"Take Five","Dave Brubeck","Jazz"
London,"Pomp and Circumstance","Edward Elgar","Classical"
London,"Man! I Feel Like a Woman!","Shania Twain","Country"
Tokyo,"Tokyo Drift","Teriyaki Boyz","Pop"
Tokyo,"J-Rock Anthem","One OK Rock","Rock"
Tokyo,"Tokyo Blues","Tokyo Ska Paradise Orchestra","Jazz"
Tokyo,"Cherry Blossoms","Traditional","Classical"
Tokyo,"Japanese Country","Kiyoshi Hikawa","Country"
Tokyo,"Plastic Love","Mariya Takeuchi","Pop"
Tokyo,"The Beginning","One OK Rock","Rock"
Tokyo,"Blue Train","Tokyo Ska Paradise Orchestra","Jazz"
Tokyo,"Moonlight Sonata","Ludwig van Beethoven","Classical"
Tokyo,"Yuki no Hana","Mika Nakashima","Country"
Tokyo,"First Love","Hikaru Utada","Pop"
Tokyo,"Zankoku na Tenshi no Teeze","Yoko Takahashi","Rock"
Tokyo,"Tokyo Jazz","Tokyo Jazz Joints","Jazz"
Tokyo,"Sakura","Traditional","Classical"
Tokyo,"Umi Yukaba","Traditional","Country"
Tokyo,"Lemon","Kenshi Yonezu","Pop"
Tokyo,"Red Swan","Yoshiki feat. Hyde","Rock"
Tokyo,"Midnight Tokyo","Various Artists","Jazz"
Tokyo,"Nocturne","Frédéric Chopin","Classical"
Tokyo,"Tokyo Cowboy","Jon Regen","Country"
New York,"Empire State of Mind","Jay-Z","Pop"
New York,"New York, New York","Frank Sinatra","Rock"
